,Model,Overall_rating,Date,Review,Style,Comfort,Fuel_Economy,Performance,Value_for_Money
468,2013 Suzuki Swift DX 1.3,4," Feb 22, 2019","
VERY NICE HATCHBACH , EXCELLENT EXTERIOR, INTERIOR LOOK VERY RICH, DRIVE IS JUST AWESOME , FUEL ECONOMY IS ISSUE BUT GOOD DRIVING HABIT  WILL GIVE 11/12 KM/LTR, WHICH IS NICE WITH 1328CC POWER, YOU WILL NEVER FEEL POWER LACK ON THIS CAR, DRIVE IS BETTER THAN  GLI 1.4, 
",5,5,3,5,4
469,2017 Suzuki Wagon R VXR,4," Feb 13, 2019","
this car is  expensive but excellent condition neat and clean interior outstanding performance good headunit great ac performance leaves every sedan behind excellent Speedo meter highspeed 1000cc k series engine 15 fuel economy brakes like abs. beautiful look laser lights tubless tyres good boot space (as compared to hatch backs) a great wagon just like a cruiser
",5,5,5,5,4
470,2018 Suzuki Vitara GL+ 1.6,5," Feb 08, 2019","
Suzuki vitara is a powerful SUV in Pakistan with many more function like cruise control and paddle shifters and 4 air bags with multimedia steering and 10 inch android Tab only one missing in SUV back camera is miss but overall excellent vehicle with 1.6 litre engine 
",5,5,5,5,5
471,2018 Suzuki Ciaz Automatic,3," Feb 07, 2019","

Yes it is a 'Suzuki' & yes it costs over 2MPKR. Handling could be a lot better, the car lacks good road grip & often skids on highways on windy days.Now to the good part. Looks of this car are  better than most, probably its best feature. Fuel economy is good even on bad days, you can get an average of 15km/l  (or better) on the automatic variant, like the one I am using. Trunk is very spacious. Ride is fairly comfortable, I've driven it continuously for 600km without much trouble. Pick up is good & tops out at 190km/hr, but you can probably take it further.Overall good car, a few additional features like fog lights & multimedia with rear camera, a sunroof & auto folding side mirrors with turn indication lights can make it worth your hard earned bucks.
 

                More
                
 
                Less
                
 
",4,3,4,3,3
472,2019 Suzuki Cultus VXL,4," Feb 06, 2019","
The exterior of the car is good and in the in the interior comfort is good but on rear it is not more comfortable according to me the fuel average of car is good mine is giving 25.5km/l it (it depends on your driving style) it is provided with ABS (Anti lock braking system) only in  (VXL & AGS) due to ABS brakes are good it also have Dual Airbags (only in VXL & AGS)  one for driver and one for front passenger. 
",5,3,5,5,4
473,2012 Suzuki Alto VXR (CNG),4," Feb 05, 2019","
Car is best for small family with amazing fuel economy on CNG but pathetic on fuel that average on 9-12 but on CNG its almost more than double from petrol.... But trunk space is compromised if you go with a CNG option but if you can manage then it worth i.....Comfort is not very state of art but better than many others iron drums like mehran and other overated and overpriced cars... Exterior and interior is just ok for an economy sector car....Value for money is good and resale of good condition car is very good 
",3,3,5,5,4
474,2007 Suzuki Liana RXi (CNG),4," Jan 31, 2019","
The exterior is also good with front grill and fog lights its look unique and the trunk is also in a good shape,there is a good inner space for 5 person in city with comfort but the main thing is money and from my experience there is not still any car with this all function at this price if there is so let me know please
",5,5,4,5,5
475,2018 Suzuki Cultus VXL,3," Jan 30, 2019","
I purchased my caltus in start of 2018 and now it's 2019 I did not have any engine issues with this car.but I really dislike the interior quality because there is sound of chu chu every where and suspension is not good there is lot of noise on bad roads.
",3,2,5,4,4
476,2015 Suzuki Alto F,4," Jan 23, 2019","

Exterior: Very stylish front but a little ugly from the back due to tail lights being on the bumper. Interior: Driver seat is electronically heated. 4 speakers with decent sound quality. Basic deck with CD player and AUX. Rear camera, TFT, Digital Climate Control and Push start is only offered in the X variant which is top of the line for JDM Alto. Side Mirrors are neither auto adjustable nor retractable. Overall build quality is good.Features and Safety: 2 Air Bags, ABS brakes, Traction Control, Eco Idle, ENE charge technology, Electric Power steering, Power mirrors.Performance: Very good pick and acceleration. 0-100 in about 14 seconds. Considerably soft suspension (8/10). Ground clearance is better than most other 660 cc cars. Car does not vibrate up till 120 kph. Overall, a very smooth drive.Comfort: Very decent head room and leg room. Seat cushioning is decent. A comfortable car for 4 people.Fuel economy: 17-20 in city, 22-25 on highwayRating: 8.5/10
 

                More
                
 
                Less
                
 
",3,4,5,5,4
477,2019 Suzuki Cultus Auto Gear Shift,4," Jan 22, 2019","
Today i purchased cultus AGS and found the cabin very noisy, it means sealing is of bad quality. Also the bonnet gives noise because of improper adjustment. paint quality is poor as compared to honda and toyota. any how the fuel consumption which shows on the digital meter is awesome and car is best for city use.Suzuki must improve as they are charging much money.
",5,3,5,5,4
478,2018 Suzuki Cultus VXL,3," Jan 18, 2019","

I am using 2nd generation cultus since 5 months .The metal used in the body looks very cheap although the shape is  very beautiful.The big complaint  of mine from this car is the paint from back bumper is removed day by day by its own.The scratches are coming on its dashboard.Now some people will say that i use it roughly but  i take care of it so much.Suzuki just need to improve its quality especially many people are complaining about its cheap metal including me .If we dont look at these things the car is awesome and gives me  18-22  km per liter.Its performance is excellent.Air conditioner is excellent.
 

                More
                
 
                Less
                
 
",4,3,4,4,3
479,2017 Suzuki Ciaz Automatic,4," Jan 09, 2019","
39000 km now, I'm army officer & I've been using City and civic Old shape, ciaz is a good experience. excellent fuel average, comfort, style, colour range, I had pearl white colour.Air bags, suspension, ground clearance, build in bridgestone tyres, trunk space awesome.Yes it's little costly but I'm sure it will prove its worth.. 
",5,5,5,5,3
480,2018 Suzuki Cultus VXL,4," Jan 01, 2019","
I am driving this car since 9 months.Pros:- Exterior is aerodynamic.- Multimedia is just awesome, can be attached to 5 devices via -Bluetooth. - comfortable drive- air bags and ABS brakes- most fuel efficient (18-19  Km/l in city with AC) and (20 Km/l on highway with AC)- quality dashboardCons:- radio antenna  on top looks ugly.- body metal quality is  of average quality, at least I'm not impressed with it.
",5,5,5,5,4
481,2017 Suzuki Wagon R VXL,3," Dec 31, 2018","
its good looking car mainly from the front. i changed the tyers very same day i bought it. reason being company fitted tires do not go with the personality of this car. however i am not convinced with the fuel efficiency because in lhr city its giving 12km/Ltr with AC and without its performing upto 15km/ltr.its great value for money. i am owning this car since Dec 16 and so far i am quite happy with its performance and going to keep it for next 2 years :) 
",4,4,3,4,4
482,2017 Suzuki Ciaz Manual,4," Dec 30, 2018","
interior and exterior both are stunning. ride is great when compared with honda city specially its power steering is very smooth. suspension is a bit noisy on uneven roads. i hv driven it for almost 7k kilometers and enjoying it. fuel average is unparallel.
",5,4,5,4,3
483,2016 Suzuki Swift DLX 1.3,3," Dec 18, 2018","

A good family car. It matches with Toyota Altis 1.6 AT in its pick. I had a race with Toyota XLi and it left XLi far behind. I used 02 Swifts from Oct 2012 till Dec 2018, one was 2012 make and other was 2016 make. No difference in the features or the performance. However, I personally felt that the pick of 2016 model was even more than 2012 model. But on the same time its mileage was also reduced from 13 k/lit for 2012 model to 11-12 km/lit to that of 2016 model. The finer quality of plastics parts and comfortable seats are also compromised in the newer model.
 

                More
                
 
                Less
                
 
",4,4,2,4,4
484,2012 Suzuki Cultus EURO II,4," Dec 07, 2018","
bought zero meter cultus in 2007 drove it for five years whose experience was wonderful so decided to sold it out and but another zero meter cultus so I bought a cultus in 2012 and drove it about 273411 km within city and out of city even visit khunjerab pass kalam quetta and many more cities of Pakistan but its performance remain the same.... now I sold it outand bought a zero meter swift then a city buPuraanni cultus ki baat hi kuch aur ha
",5,5,5,4,4
485,2018 Suzuki Cultus,4," Nov 26, 2018","
i think car is excellent for pakistan roads .. specially in lahore and karachi .. populated cities.but price is too much . it should be 13lacs for manual VXL.i bought it 3 days ago .. i got a remote issue . which isn't working :(  .............................................................................................................
",4,5,5,4,3
486,2017 Suzuki Ciaz Automatic,3," Nov 24, 2018","
it's good but only good for city drivers put pedal to the floor going towards rural attock side it sucks and maybe nobody noticed it the back slips alittle at high speeds...i bought it for taking some people regularly from peshawar to Islamabad then to attock and due to being in tehsils we have to travel inroads and the car sucks badly just a waste of money if u planning to use it in underdeveloped areas
",5,1,5,3,3
487,2015 Suzuki Wagon R FX,4," Nov 21, 2018","
Lacks good looks. Being battery assisted, the car is very fuel efficient and eco friendly. Much better than locally assembled WagonR. Features match any big expensive car. Heated driver seat is an appreciable feature. AC is excellent and doesn't feel a drain in such a small engine (660cc).
",4,5,5,5,5
488,2017 Suzuki Cultus Limited Edition,4," Nov 20, 2018","

It's been month driven this car, this car is best for Pakistani roads have put in extreme Lahore road bumps, car is very reliable have tested this car to every extreme, its road grip is great, its ac works good , its average on light pedal is 15.936km/l and if you drive it harsh gives you 14.237km/l ,   great suspension. Ground clearance is really good. i think this is the best car to buy because of its price, car really worth the price  as 2017 model  limited edition car in Excellent condition price is approximately 11,50,000 Lac vs new shape  Celerio 2018 car is available in 1380 to 16,10,000 lac. So why pay that much. My friend purchased Celerio 2018 model Vxl & he is not happy because his car not giving fuel mileage more than 13.38 Km/L with light foot, even checked by Suzuki cantt motors. 
 

                More
                
 
                Less
                
 
",4,4,4,4,4
489,2017 Suzuki Ciaz Manual,4," Nov 18, 2018","
Excellent car by suzuki pakistan , stylish car with comfortable seats and drive . It has really good fuel economy. I prefer to buy this car to the people who are willing to buy city or corolla. It has really Gud boot space and very big trunk . It has very good exterior and interior with good amount of chroming . I found Suzuki Ciaz one of the best car to buy under 20 lacs . 
",5,5,5,5,4
490,2018 Suzuki Swift DLX Automatic 1.3 Navigation,4," Nov 14, 2018","
I always owned Civic and just sold 2017 new civic and just bought Swift 2018.to my utter surprise it gave me immense pleasure in drive n comfort including ground clearance with. 5 adults.  I also own Vitz 2011/12 but I would grade Swift higher than Vitz due various aspects ie Brand new available, good pick up, no engine sound, smoother drive, powerful engine , good ground clearance, value of money....???????????? 
",4,4,3,5,5
491,2018 Suzuki Ciaz Automatic,4," Nov 14, 2018","
Best feature is the over drive mode. Engine gives great acceleration and I love the sound. Really fun to drive and give it full throttle. It does lack the following: Alloy Wheels, Fog Lamps, Navigation w/reverse cam, Leather Seats, Bluetooth. But overall the car is pretty decent. Pearl White is the best colour.
",5,4,5,5,5
492,2018 Suzuki Ciaz Automatic,4," Nov 13, 2018","

Styling: Beautiful car which can be mistaken with some new model Honda or Toyota vehicle if it was sold without the S badge.Comfort: It is very comfortable and offers you a grippy planted driver while retaining cabin comfort and the cabin is more silent than GRANDE and Civic.... How do they do it probably its because as the car is imported.Performance: It weighs only 970 KG and has a 1.4 Engine so expect a great performance better than Gli and City Value for Money: 2 Million for a car with Air Bags, Immobilizer, Import from Thailand, Bridge stone tired, JDM quality... What else can one wantFuel Economy: 16 t0 17 Kmpl that is what iv been getting from it on a daily drive which is simply amazing as Gli does 9 to 11 and City does 10 to 12 max.Final verdict: If the Suzuki badge doesn't bother you Ciaz is the best vehicle under 2 Million
 

                More
                
 
                Less
                
 
",4,4,4,3,5
493,2018 Suzuki Ciaz Automatic,4," Nov 10, 2018","
This car is really comfortable but there should.be leather covering on the seats along with build in lcd,camera,fog lamps,alloy rims but how ever it is very beautiful i would rate it 8 out of 10 if these accessibilities are available I would rate it 10 out of 10 how ever an excellent car and it is for sure comparable to city and corella 1.3 must buy it really impressed
",4,5,5,5,4
494,2018 Suzuki Swift DLX Automatic 1.3 Navigation,4," Nov 06, 2018","
Swift is most powerfull car but fuel mileage is bad in City and on motorway mileage is good but car is perfect hatchback and powerfull this car better than city 1.3 and gli 1.3 but market value is poor automatic transmission car but not CVT and ground clearance is perfect with 5 adult person 
",5,5,4,5,4
495,2014 Suzuki Hustler G Turbo,4," Nov 01, 2018","
Travel from Lahore to Islamabad more efficient more comfortable more leg room and head room tuning cost is 5000 after 4000km.Its more fuel efficient car with many features like heated seat hill assit grip control and sport mode which allows the car more power its a turbo engine with 62 hp 
",4,5,5,5,5
496,2018 Suzuki Mehran VXR Euro II,4," Oct 26, 2018","

The best thing about this car is the fuel average, which is beyond my expectations. My brother has a new 2017 Suzuki Cultus Manual that gives only 11 km/l, which is pathetic for that car. Even an Altis Auto can give you that much mileage.  However, my Mehran VXR car gives an amazing average of 17 km/l, which is fantastic given the expectations of a fuel hike in the near future.I drive 58 km daily and there has not been a single heating issue. The drive is relatively quick and handles smoothly. The car's break response is also excellent that has saved me from at least one major accident. If you are a fuel-conscious person, and think that a car's only purpose is to get you from point A to B, and that spending on a luxury car is a waste of money, then believe me this is the best car you can find in the market.  
 

                More
                
 
                Less
                
 
",3,3,5,5,5
497,2016 Suzuki Wagon R VXL,4," Oct 22, 2018","
I was shocked i back in 2014  was having option whether to buy cultus which was 1169000 or wagonr whick was 1029000 but when my i got on dashboard and its build quality i understood that wagonr is far better then cultus  and now it has been proved Its engine is made up of aluminium and hard plAstic
",3,5,5,5,5
498,2018 Suzuki Cultus VXL,4," Oct 08, 2018","

In 2016 i bought hondacity usd it 4  1year.It ws an amazing exprnce wid city than i switchd to gli,I usd it 4 1year,after using it i frgot city.nw I ws thinking to hv a car that is urbn type wid all the acessories of gli.I thout abt vitz.btt buying japanese car in 1.5 million and above was not my first preference that had been used already and we dont k9 how it had been used.i dont have faith to invest in a car whom u dont k9 where it was in japan or then in pak.i'm a sesitive minded man.my friend told me about this car.so i drove this car before buying and it attracted me.so i bought it in march 2018.and believe me.it is a wonderful car in all aspects and so much so it is having the air bags.so this car offers luxury,comfort,fuel economy,beauty.and i never felt for a single moment of time  that i should sale this car,fellas in a mature way if u want to  buy an urban car which fulfills every need u need while driving a car.go 4 it.Dr muneeb
 

                More
                
 
                Less
                
 
",5,5,5,4,5
499,2012 Suzuki Wagon R Stingray Limited,4," Oct 03, 2018","
its fuel efficientgreat interior and  exterior  lookcomfort drivenoise proof carresale value is not up to that standard as compared to 1000 cc Japanese care like vitzeco function works greatlynever been into major  sensor fault as heard a lot of rumors regarding  sensor issues.excellent experience.
",5,5,5,5,4
500,2013 Suzuki Mehran VXR Euro II,2," Sep 27, 2018","

At last in 2018, Pak-Suz has decided to abandon producing this highest selling car.Exterior: Nothing, just a few lights upgrades. White, silver and gray colours are better. Interior: The same as the first born Mehran. No Radio, no music, nothing. Plastic every where. Seats are just like a knitted sweater. In VXR, AC is just ok. Comfort is highly in negative. Space is just ok for a 5 member family.Fuel Economy:  Euro 2 better, than all the past models. I would say more than 20 kmpl (without AC)Ride Quality and handling: Extremely bad. Starts whobbling after 80 kmph. Though it can reach 130 on motorways, but never try that, its dangerous. Final words:  Fuel Econ is good, AC is ok, Parts cheaps. This car is recom. for  middle class. But still, at the price tags, the given features and comfort were not enough. The same variants in China and India far more better, with a lower price. Pak-Suz should design a better 660-800cc car with a price in reach of middle class. 
 

                More
                
 
                Less
                
 
",2,1,4,3,3
501,2017 Suzuki Cultus VXL,3," Sep 25, 2018","

Metal body of car is very cheap quality. But i like the shape of the car and look also . Performance is more than 1000 cc car very good in performing on road .but fuel economy is poor it only give 10.7 maximum with ac in karachi city . I expected it would have given 13 or 14 km per liter . Suspension is ok not excellent . Ground clerance is very good no problem at all . I have new cultus purchased manual 2017 . Iam going to purchase ags model of cultus i hope it give good average . And compare to japane car . Japane car will always hit on speed breakers . 660cc engine in japane cars is a flop engine for me. But the body quality features luxuries roadgrip no sound all this atributes are better in japane car . Compare to vits 1.0 cultus is better . 
 

                More
                
 
                Less
                
 
",5,3,1,5,5
502,2018 Suzuki Ciaz Automatic,4," Sep 17, 2018","

simply awesome in all areas except some lack of features like alloy wheel ,fog lamps .its cbu unit so no issue found of assembling like corolla or city bumber lights fitting, no need to spend any single after buying it like city or corrola bcz like local cars u must req to change the tyres bcz of of no general local tyres not good but in ciaz u got bridgstone tyre , fuel economy is awesome on highway its gives me 18.5 avg and within city 15  . design is good projector lamp provide good visiblity ,dual srs air bag is peace of mind . best sedan in pak in this price with quality build.
 

                More
                
 
                Less
                
 
",4,5,5,4,4
503,2013 Suzuki Swift DLX Automatic 1.3,4," Sep 11, 2018","

The car looks beautiful from the outside. It's very compact and sporty just what one needs in today's crazy traffic. The interior is also clean and  modern especially the ODO looks good. I bought this car used from the first owner and was a bit apprehensive about  the quality , after having owned a cultus before. BUT the moment i drove it i fell in love with it. The drive never disappoints be it a straight road or winding turns up the mountains, i enjoyed every bit of it. The suspension is a bit noisy at times on bumpy roads but that can be easily shadowed by the overall drive quality. The drive is really smooth and comfortable and cabin is very quiet. The AC is also good. Even with 5,6 people on board, it doesn't loose acceleration. A great car built by Suzuki and the best in its class. Haven't driven the manual variant that much but the auto variant  with ladder type gear box is a treat to drive. Would recommend this to anyone looking for an AT car !!
 

                More
                
 
                Less
                
 
",5,4,4,5,5
504,2018 Suzuki Wagon R VXL,3," Sep 09, 2018","
The car pack good performance along with light steering  and comfortable ride making its drive ride hassle free. It has strong resale value and spacious cabin . However I have a grudge that pak suzuki skipped on basic features like abs and airbags. Also it is not offered with automatic tranmission like imported cars
",4,4,4,4,3
505,2018 Suzuki Cultus VXL,4," Aug 08, 2018","

It's been monrh driven this car, this car is best for pakistani roads have put in extreme lahore k roads k khadday with full speed, car is very reliable have tested this car to every extreme, its road grip is great have turned it on more than 80 km/h on uturns this only gives you a good slide,have yested car moose test more than 90 km/h very nicely it slided between the barriers, its ac works like corolla and far better than before cultus, its average on light pedal is 30km/l and if you drive it harsh gives you 20km/l even, ithink this is the best car to buy , car really worth the price. Buy it best ground clearance have driven it lile khotta not like a car, its best for pakistani roads i had never ever braked this car on speed breakers car have an great suspension. I cross over speak breakers more than 50km/h but this car never broke anything so it worths your money.  Totally there is an great change in this new model. So buy it and drive it of you drive very rough. 
 

                More
                
 
                Less
                
 
",3,5,5,5,5
506,2016 Suzuki Wagon R VXL,4," Jul 22, 2018","
CAR  HAS A  BEAUTIFUL  EXTERIOR.BEAUTIFUL LIGHTS WITH BUMPERS.I HAVE FITTED  STYLISH ALLOY RIMS O MY CAR.ITS AVERAGE IS AROUND 14-16KM/L IN CITY ALONG WITH AC.AND 16-18KM/L ON HIGHWAY ALONG WITH AC.THIS CAR HAS NO ENGINE NOICE. HIGH SPEED OF THIS CAR IS 1500160KM/H.
",4,5,5,5,5
507,2018 Suzuki Cultus VXL,5," Jul 17, 2018","

Exterior is beautiful I have bought metallic gray color which looks solid built and looks awesome and stylish.Interior is good artistic finish Drive is very smooth and comfortable just can be compared with any good car.Fuel milage is superb you can see fuel average in odometer. In city 17-19 km/l and 20-22 in highways with AC.AC works very fine.Overall a satisfied deal and you will get warranty and after sale service is also available.As compare to Japanese car yes they have more features but you can not trust as they may be accidented moreover repair is an issue especially if you stuck in any small cityIt's shocks are also Ok as I drive in City area and on  some bad road but shock works well.
 

                More
                
 
                Less
                
 
",5,5,5,5,5
508,2018 Suzuki Wagon R VXL,4," Jul 11, 2018","
I have just bought Suzuki Wagon R. It's a superb car. Five persons comfortably sit in. Interior is excellent. Nice leg space for rear passengers. Exterior is good. High road clearance. High resale value. Fuel economy is excellent. Within city it gives 16 km/ l and on a highway it gives 19-20 km/l. 
",5,4,5,5,5
509,2013 Suzuki Cultus VXRi,3," Jul 07, 2018","

Yea! The car is  20 years old but still looks better than most ridiculous boxy Japanese cars. Good ground clearance better than all hondas and Japanese  cars. Better for urban and rural use.Interior is where it lacks all the excitement; Cheap, 3rd class plastic . But it has excellent space in the front and back. I am 6 foot 3 inch but can still  ride in the back seats.Suspension is designed unlike hondas and toyotas as honda prefer stiff suspension which provide good handling but lacks comfort while toyota prefer soft suspension which provides good comfortable ride but lacks handling pleasure. But suzuki provides a mix of both you will get normal comfort and normal handling.Fuel average in city is 11-12 km/l while on long it manages 15-16 km/l.As the engine is smaller and body is bigger so it does overheat on long routes but its not underpowered like pathetic 660 CC JDM's.
 

                More
                
 
                Less
                
 
",3,4,3,3,5
510,1998 Suzuki Mehran VX,3," Jun 26, 2018","
Its an old model so it has more strong body as compare to new one.Fuel economy is very good.It is a comfortless car.Thereis no safety for driver and passengers............................................................m.............................,..................................m.m.m...................................................m...............
",3,2,4,4,3
511,2010 Suzuki Alto VXR (CNG),3," Jun 19, 2018","
I have a alto My father paid for this car and gave me for a collage. This car is to good but on a CNG drive because of its Petrol average. per liter milage is 9 to 11 km and its major problem is its Foundation rubbers and suspension rubbers after 2 months your car need to change it. and second problem is. its engine is conjusted space.
",4,3,1,4,4
512,1990 Suzuki Khyber GA,4," Jun 18, 2018","
I'm using my father's beloved evergreen Suzuki Khyber. I think it is the best 90s  Pakistani car ever made. Perfomance is excellent, fuel consumption is between 15-18 km/l. Khyber offers comfortable and smooth Rides. If you had a Khyber you'll know. Finding a good conditiom is hard but fortunately, we have it with us for more than 20+years and we are still not prepared to replace it.                                                  
",4,4,4,5,3
513,2018 Suzuki Cultus VXL,5," Jun 04, 2018","
Superb I love this new model it should be called the luxury cultus its have space ,fuel economy and drive comfort like a big car , I want its new model in auto gear shift I will purchase must when have more money I hope to buy it soon if one can help me 
",5,5,5,5,5
514,2018 Suzuki Swift DLX 1.3,2," May 21, 2018","

 Features:3\10                                    No features.No airbags       4                                                                                                                   Comfort is okay.                                                             Fuel   economy is okay.                                                                                                                       Comfort:5\10                                    Value for money is okay.                                                                                                                            Performance is okay.                                                               Style is poor.  Fuel Economy:6\10Value for money:8\10Performance:6\10Style:4\10Interior:7\10Power Steering:7\10Speedometor Style:8\10
 

                More
                
 
                Less
                
 
",2,2,3,3,4
515,2016 Suzuki Wagon R VXR,3," May 21, 2018","
The 2016 Wagon R is the best car for small families and its the best small car.The price is good.The fuel economy is also good.The inside interior is also good.Most of the taxi drivers buy that car.The colours are brown and silver.The style is okay.The perfomance is very good.
",3,3,5,4,3
516,2018 Suzuki Kizashi Base Grade,4," May 21, 2018","

Suzuki is renowned for its desirable motorcycles, but its cars historically haven't enjoyed nearly the same respect. The Suzuki Kizashi midsize sedan is a serious attempt to bring the company's automotive division up to snuff. Billed as a sophisticated sports sedan at a family-sedan price, the Kizashi generally delivers. It looks sharp, it drives well and its interior is one of the nicest in the segment. While the Kizashi is billed as midsize, its dimensions actually fall in between that segment and increasingly large compacts. This means it's in the unique position to compete against both camps. It's larger, more luxurious and better built than most compacts, yet less expensive and agiler than the midsizers. We think it's definitely worth a look, but the biggest obstacle could be finding one given Suzuki's limited dealer network.
 

                More
                
 
                Less
                
 
",4,4,4,4,4
517,2017 Suzuki Wagon R VXL,4," May 20, 2018","

I have been using Suzuki Wagon R VXL since Last Aug 17 & I am really impressed to see that Suzuki has given auto enthusiasts A great deal after Suzuki Mehran AKA ""Boss"" which has great features, fuel economy is best in its class, confort wise it's great.. a best family packaged city driven car in its category. I have driven 35000 KM till now daily routine drive of 150 km from my office to home & from my experience Suzuki Wagon R is best option for car enthusiast in Pakistan. Best resale value, Easy & cheapest to maintain, spare parts are economical in prince & readily available in market, comfort /chill AC which do not affect engine performance at all. Cons: In my opinion Suzuki should add ABS break system,  Air bags & power windows for back seat passengers. Overall A Satisfied customer I Am :)
 

                More
                
 
                Less
                
 
",4,5,5,5,5
518,2018 Suzuki Cultus Auto Gear Shift,5," May 18, 2018","

vehical is class of its own.you have to wait for petrol dots to go down with such good fuel economy 17 km/ltr city and  21 km/ltr on highway.vehical gives you advantage of  automatic and economy of  hybrid.i used to wander in 4 years time how AMT has crossed all limits in India now answer is hear with cultus AGS.Ideal for ladies drivers.Good suspension manual mode avail for hill driving award winner  K series Engine.magnetti Merrelli  Italy automated  Maual trasmission.good suspension.3 years and 60,000 km warranty by Pak suzuki  3S extensive nation wide network.0  meter vehical coupled with warranty has no comparison with used accedented JDMs.power windows and  side mirrors, clarion speakers /sound system and imbolizer.vehical is succsesfull combination of  Japaneese,Thai  and italian technology  and it  is hear to stay.  kindly search JDM with 4.5 grade 2017  model non accedented price  with custom clearence  and no warranty of 1 km will come to know  that price is justified
 

                More
                
 
                Less
                
 
",5,5,5,5,5
519,2018 Suzuki Carry Standard,3," May 17, 2018","

The truck featured a pretty rudimentary build quality and judging by the way it looked it was a wonder that was able to last with dignity to relatively harsh working conditions. The Suzuki Carry, however, was like a small giant as its high ground clearance and the tough body gave it a surprisingly strong character that helped it to tackle almost anything was thrown at it. For its tiny dimensions, the Carry boasted a pretty large load area with a load deck measuring 1,620mm long, 1,340mm wide and 1,100mm height. The vehicle had also received a few design elements which make it look pretty cute such as the huge headlights, a wrap-round bumper, the sculpted bonnet and the huge windshield. The side panels of the van versions were mostly flat and were fitted with a large opening sliding door, while at the back there is a vertically opening tailgate.
 

                More
                
 
                Less
                
 
",3,3,4,4,4
520,2018 Suzuki Mehran VXR Euro II,2," May 14, 2018","
Exterior is boring 90's style same with the interior only 2 ac vents in middle design is ok but not great  fuel economy is good but not great acceleration is really bad really bad honestly thank God suzuki is replacing this cheap 7 lac  thing with alto same with swift 2nd gen was discontinued years ago fuel economy good Suzuki is the worst car manufacturer in fact suzuki ne qasam khae he k ache price pe ache car nai den gy in like india where there is good cars for cheap 
",1,1,3,1,5
521,2018 Suzuki Cultus VXL,5," May 08, 2018","
fuel economy of this car is simply awesome. just like JMCand in speed better than JMC. i am using this beauty since last 1 year now without any indemnification on my pocket  alhamdolillah i have not yet faced any fault or issue. 
",5,5,5,5,5
522,2013 Suzuki Alto E,4," May 05, 2018","
very nice car problem is that although is good station car but on long routes u do not feel comforts.with light pedal u can get 15-16 km/l per litter in city with ac.good for city use if 2-3 perons wants to use it.recommended for small families with in city travel
",4,4,5,4,5
523,2013 Suzuki Mehran VXR Euro II,2," Apr 29, 2018","
Good average about 18km/l in city without acand economic car but overpriced and very bad ac. I feel heavy jerks after keeping ac on half an hour in standing car fit for narrow streets and in city cant be compared with 660cc cars pak suzuki needs to improve much the car as it has zero safety
",1,1,5,1,2
524,2018 Suzuki Ciaz Manual,4," Apr 24, 2018","
Elegant ExteriorTail Light are more resemblance with BMW.best fuel economy in motorway or highway 20 km/Ldual airbagsDriver seat adjustable.More Trunk capacity as compare with City or Corolla Project head lights are installed.more leg space as compare with corolla or citysimple interior makes feel better..
",4,5,5,5,5
525,2018 Suzuki Wagon R VXL,4," Apr 24, 2018","
After a long wait Pak Suzuki finally decides to make some changes to their most popular car over past few years but could not live up to the expectations of the consumers. Adding alloy wheels and chrome tail garnish doesnot offer value for money in accordance to the price hike. Making the rear power windows was not supposed to be a big deal but the company thought otherwise.
",3,4,5,5,4
526,2018 Suzuki Mehran VX Euro II,3," Apr 01, 2018","

Good Exterior , Good  Fuel Economy, Smooth Ride, Best for small and  average family. Some friends are comparing the car with corolla and  Honda etc. which is not fair because no doubt that Honda and corolla are better than mehran as far as the safety, durability, speed and reliability is concerned. Due to these better features these are more expensive as compare to mehran. These cars are three times mores costly. Similarly their fuel consumption is also more. If  some one possesses 25 lakhs for  corolla then he can buy almost 3 mehran  and the combined life of  these 3 mehrans becomes more than corolla. 
 

                More
                
 
                Less
                
 
",3,3,3,3,3
527,2007 Suzuki Liana RXi (CNG),4," Mar 29, 2018","
super car i have this from 2012 no problme better than 2017 carolla superb car suzuki has drop this car because it has computrized systems  it is for educated people  super luxury interior top speed 190 without wobbling  i think it is best choice if you have a decent budget now you can see many lianas on rooad rxi is manual if you want at go for eminent
",4,5,5,5,5
528,2017 Suzuki Cultus VXL,4," Mar 28, 2018","
I m using this car for last 6 months. fuel average is excellent 18km/l within city and 20 km on long route but a bit expensive. much better than vagon r. as compare to vitz not much comfortable but u can buy a new car with same price range than used vitz. 
",4,4,5,4,3
529,2018 Suzuki Wagon R VXL,4," Mar 23, 2018","

Well, I got depressed while checking some Negative reviews last year. because i had booked Wegon R VXL 2018. But When i got this car from Show room then i found my self Happy to be this car. Let me share my Experience with is car,Merits:1) It has a decent Exterior.2) Interior is luxury .3) Value of Money .Because Each Quarter it get increase its invoice price. So Good for Existing Owners.4) My daily Drive for office is 45 KM, (IN & Out City) so Fuel economy is 17/Lts (Petrol)5) It has a very reliable & Powerful Japanese Engine (k series ). Demerits:1) This car is not so comfortable on Motor Way  because  every time big Buses passes you. It Losses its balance due to pressure throws by Bus.Regards,Khalid 
 

                More
                
 
                Less
                
 
",4,5,5,5,4
